"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 00:00","2015","09","01","00:00","14.4","","14.1","","98","","","","18","","4","","24.1","","100.64","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 01:00","2015","09","01","01:00","15.0","","14.7","","98","","","","","","0","","24.1","","100.68","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 02:00","2015","09","01","02:00","13.3","","13.0","","98","","","","","","0","","40.2","","100.74","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 03:00","2015","09","01","03:00","13.8","","13.5","","98","","","","36","","5","","40.2","","100.75","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 04:00","2015","09","01","04:00","12.3","","12.0","","98","","","","","","0","","40.2","","100.77","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 05:00","2015","09","01","05:00","12.6","","12.3","","98","","","","","","0","","32.2","","100.81","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 06:00","2015","09","01","06:00","12.6","","12.3","","98","","","","","","0","","40.2","","100.86","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 07:00","2015","09","01","07:00","14.7","","14.4","","98","","","","2","","5","","32.2","","100.88","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 08:00","2015","09","01","08:00","17.7","","15.0","","84","","","","","","0","","32.2","","100.88","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-09-01 09:00","2015","09","01","09:00"
