"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 00:00","2016","01","01","00:00","-1.3","","-4.3","","80","","0.0","","27","","20","","","","100.93","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 01:00","2016","01","01","01:00","-1.2","","-4.3","","79","","0.0","","26","","18","","","","100.92","","","","-6","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 02:00","2016","01","01","02:00","-1.5","","-4.8","","78","","0.0","","27","","20","","","","100.92","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 03:00","2016","01","01","03:00","-1.7","","-5.0","","78","","0.0","","27","","18","","","","100.94","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 04:00","2016","01","01","04:00","-2.5","","-4.9","","84","","0.0","","28","","17","","","","100.89","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 05:00","2016","01","01","05:00","-3.0","","-4.3","","91","","0.0","","28","","14","","","","100.88","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 06:00","2016","01","01","06:00","-3.3","","-4.4","","92","","0.0","","27","","8","","","","100.86","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 07:00","2016","01","01","07:00","-3.3","","-4.4","","92","","0.0","","","","0","","","","100.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 08:00","2016","01","01","08:00","-2.5","","-3.8","","91","","0.0","","23","","6","","","","100.82","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-01-01 09:00","2016","01","01","09:00","-1.7","","-3.0","","91","","0.0","","21","","10","","","","100.78","","","","-5","","NA"
