"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 00:00","2017","01","01","00:00","-10.1","","-11.3","","91","","","","32","","4","","3.2","","99.38","","","","-12","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 01:00","2017","01","01","01:00","-9.3","","-10.5","","91","","","","1","","10","","4.0","","99.42","","","","-14","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 02:00","2017","01","01","02:00","-8.7","","-9.6","","93","","","","6","","8","","3.2","","99.46","","","","-13","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 03:00","2017","01","01","03:00","-8.3","","-9.4","","92","","","","6","","8","","12.9","","99.52","","","","-12","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 04:00","2017","01","01","04:00","-8.1","","-9.2","","92","","","","6","","5","","11.3","","99.54","","","","-11","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 05:00","2017","01","01","05:00","-7.8","","-8.6","","94","","","","31","","4","","6.4","","99.64","","","","-10","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 06:00","2017","01","01","06:00","-7.1","","-8.1","","93","","","","23","","6","","24.1","","99.80","","","","-10","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 07:00","2017","01","01","07:00","-6.2","","-6.9","","95","","","","24","","12","","40.2","","99.98","","","","-11","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 08:00","2017","01","01","08:00","-3.5","","-6.3","","81","","","","25","","19","","64.4","","100.22","","","","-9","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 09:00","2017","01","01","09:00","-3.6","","-6.7","","79","","","","26","","17","","72.4","","100.43","","","","-9","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 10:00","2017","01","01","10:00","-4.2","","-7.5","","78","","","","25","","18","","64.4","","100.59","","","","-10","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 11:00","2017","01","01","11:00","-3.6","","-7.6","","74","","","","26","","13","","72.4","","100.70","","","","-8","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 12:00","2017","01","01","12:00","-3.6","","-8.1","","71","","","","24","","15","","72.4","","100.80","","","","-9","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 13:00","2017","01","01","13:00","-3.6","","-8.3","","70","","","","24","","14","","72.4","","100.91","","","","-9","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 14:00","2017","01","01","14:00","-3.8","","-9.1","","67","","","","24","","18","","72.4","","101.07","","","","-10","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 15:00","2017","01","01","15:00","-4.1","","-9.7","","65","","","","24","","16","","72.4","","101.21","","","","-10","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2017-01-01 16:00","2017","01","01","16:00","-4.9","","-10.3","","66","","","","23","","12","","72.4","","101.26","","","","-10","","Mainly Clear"
