"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 00:00","2015","10","01","00:00","6.6","","0.1","","63","","","","1","","14","","40.2","","101.51","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 01:00","2015","10","01","01:00","5.8","","0.2","","67","","","","36","","10","","40.2","","101.51","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 02:00","2015","10","01","02:00","4.9","","-0.3","","69","","","","1","","6","","40.2","","101.54","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 03:00","2015","10","01","03:00","3.7","","-0.3","","75","","","","6","","4","","40.2","","101.57","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 04:00","2015","10","01","04:00","3.5","","-0.3","","76","","","","5","","4","","40.2","","101.64","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 05:00","2015","10","01","05:00","3.8","","-0.4","","74","","","","1","","9","","40.2","","101.69","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 06:00","2015","10","01","06:00","3.4","","-0.6","","75","","","","2","","5","","72.4","","101.74","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 07:00","2015","10","01","07:00","4.8","","-0.2","","70","","","","1","","7","","72.4","","101.79","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 08:00","2015","10","01","08:00","7.2","","-0.5","","58","","","","3","","8","","72.4","","101.84","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 09:00","2015","10","01","09:00","9.0","","-0.3","","52","","","","6","","17","","72.4","","101.88","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 10:00","2015","10","01","10:00","11.0","","0.5","","48","","","","2","","9","","72.4","","101.92","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 11:00","2015","10","01","11:00","12.0","","-0.1","","43","","","","1","","11","","72.4","","101.90","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 12:00","2015","10","01","12:00","12.7","","-1.2","","38","","","","6","","18","","72.4","","101.90","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 13:00","2015","10","01","13:00","13.5","","-0.5","","38","","","","5","","13","","72.4","","101.88","","","","","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 14:00","2015","10","01","14:00","13.7","","-2.2","","33","","","","6","","17","","72.4","","101.85","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 15:00","2015","10","01","15:00","13.9","","-1.2","","35","","","","36","","19","","72.4","","101.85","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 16:00","2015","10","01","16:00","13.8","","-0.2","","38","","","","5","","12","","72.4","","101.87","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 17:00","2015","10","01","17:00","12.2","","0.7","","45","","","","6","","10","","72.4","","101.94","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 18:00","2015","10","01","18:00","10.0","","0.9","","53","","","","5","","4","","72.4","","102.03","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 19:00","2015","10","01","19:00","7.2","","0.9","","64","","","","5","","5","","72.4","","102.09","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 20:00","2015","10","01","20:00","7.7","","0.0","","58","","","","1","","7","","40.2","","102.12","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 21:00","2015","10","01","21:00","6.6","","-0.2","","62","","","","36","","7","","40.2","","102.13","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 22:00","2015","10","01","22:00","6.6","","-1.3","","57","","","","2","","5","","40.2","","102.16","","","","","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-01 23:00","2015","10","01","23:00","6.3","","-1.4","","58","","","","1","","9","","40.2","","102.15","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 00:00","2015","10","02","00:00","5.6","","-2.0","","58","","","","2","","8","","40.2","","102.14","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 01:00","2015","10","02","01:00","5.2","","-1.9","","60","","","","","","0","","40.2","","102.12","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 02:00","2015","10","02","02:00","4.1","","-1.9","","65","","","","7","","4","","40.2","","102.13","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 03:00","2015","10","02","03:00","4.0","","-2.0","","65","","","","5","","3","","32.2","","102.13","","","","","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 04:00","2015","10","02","04:00","3.5","","-2.1","","67","","","","2","","3","","40.2","","102.18","","","","","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2015-10-02 05:00","2015","10","02","05:00","3.5","","-1.9","","68","","","","1","","6","","40.2","","102.23","","","","","","NA"
