"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 00:00","2015","09","01","00:00","18.8","","16.8","","88","","0.0","","35","","3","","","","101.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 01:00","2015","09","01","01:00","17.6","","16.0","","90","","0.0","","2","","4","","","","101.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 02:00","2015","09","01","02:00","18.0","","16.1","","89","","0.0","","3","","6","","","","101.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 03:00","2015","09","01","03:00","17.2","","15.5","","90","","0.0","","2","","7","","","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 04:00","2015","09","01","04:00","14.9","","13.2","","90","","0.0","","3","","5","","","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 05:00","2015","09","01","05:00","15.0","","13.7","","92","","0.0","","1","","3","","","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 06:00","2015","09","01","06:00","15.9","","13.9","","88","","0.0","","2","","4","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 07:00","2015","09","01","07:00","19.1","","14.8","","76","","0.0","","7","","3","","","","101.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 08:00","2015","09","01","08:00","20.7","","14.1","","66","","0.0","","13","","8","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 09:00","2015","09","01","09:00","22.0","","13.3","","58","","0.0","","16","","10","","","","101.40","","25","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 10:00","2015","09","01","10:00","22.7","","13.7","","57","","0.0","","18","","10","","","","101.38","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 11:00","2015","09","01","11:00","23.8","","16.6","","64","","0.0","","17","","8","","","","101.32","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 12:00","2015","09","01","12:00","24.2","","17.3","","65","","0.0","","22","","13","","","","101.27","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 13:00","2015","09","01","13:00","25.5","","17.1","","60","","0.0","","21","","15","","","","101.23","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 14:00","2015","09","01","14:00","26.3","","16.7","","55","","0.0","","23","","11","","","","101.17","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 15:00","2015","09","01","15:00","27.3","","16.7","","52","","0.0","","23","","12","","","","101.11","","32","","","","NA"
