"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 00:00","2021","01","01","00:00","-5.0","","-9.4","","71","","","","27","","7","","40.2","","102.01","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 01:00","2021","01","01","01:00","-4.1","","-9.3","","67","","","","26","","5","","40.2","","102.11","","","","-6","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 02:00","2021","01","01","02:00","-4.1","","","M","","M","","","31","","8","","40.2","","102.13","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 03:00","2021","01","01","03:00","-3.8","","-8.9","","67","","","","29","","8","","40.2","","102.22","","","","-7","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 04:00","2021","01","01","04:00","-4.7","","-9.1","","71","","","","21","","5","","40.2","","102.21","","","","-7","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 05:00","2021","01","01","05:00","-6.7","","-9.4","","81","","","","17","","5","","40.2","","102.18","","","","-9","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 06:00","2021","01","01","06:00","-7.4","","-9.2","","87","","","","36","","2","","40.2","","102.22","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 07:00","2021","01","01","07:00","-8.0","","-10.2","","84","","","","25","","4","","40.2","","102.31","","","","-10","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 08:00","2021","01","01","08:00","-8.1","","-9.8","","87","","","","28","","6","","40.2","","102.30","","","","-11","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 09:00","2021","01","01","09:00","-6.3","","-9.0","","81","","","","25","","3","","48.3","","102.36","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 10:00","2021","01","01","10:00","-5.0","","-8.8","","74","","","","36","","1","","48.3","","102.35","","","","-5","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 11:00","2021","01","01","11:00","-3.5","","-8.4","","69","","","","12","","7","","72.4","","102.29","","","","-6","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 12:00","2021","01","01","12:00","-3.0","","-7.9","","69","","","","36","","3","","72.4","","102.13","","","","-4","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 13:00","2021","01","01","13:00","-2.1","","-7.5","","67","","","","14","","4","","72.4","","102.05","","","","-4","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 14:00","2021","01","01","14:00","-1.9","","-7.3","","67","","","","19","","8","","72.4","","102.02","","","","-5","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 15:00","2021","01","01","15:00","-2.0","","-7.5","","66","","","","17","","5","","72.4","","101.99","","","","-4","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 16:00","2021","01","01","16:00","-2.3","","-7.0","","71","","","","10","","7","","56.3","","101.82","","","","-5","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 17:00","2021","01","01","17:00","-2.5","","-7.2","","71","","","","13","","4","","40.2","","101.72","","","","-4","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 18:00","2021","01","01","18:00","-2.5","","-7.4","","69","","","","14","","6","","40.2","","101.69","","","","-5","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 19:00","2021","01","01","19:00","-3.2","","-7.1","","74","","","","6","","7","","40.2","","101.62","","","","-6","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 20:00","2021","01","01","20:00","-4.3","","-6.9","","82","","","","7","","7","","40.2","","101.41","","","","-7","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 21:00","2021","01","01","21:00","-3.1","","-8.0","","69","","","","9","","11","","40.2","","101.26","","","","-7","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 22:00","2021","01","01","22:00","-3.7","","-7.5","","75","","","","4","","4","","40.2","","101.16","","","","-5","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-01 23:00","2021","01","01","23:00","-4.2","","-7.2","","79","","","","5","","9","","40.2","","101.05","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 00:00","2021","01","02","00:00","-4.4","","-7.5","","79","","","","4","","8","","40.2","","100.97","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 01:00","2021","01","02","01:00","-4.9","","-7.0","","85","","","","6","","9","","2.4","","100.81","","","","-9","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 02:00","2021","01","02","02:00","-5.4","","-6.5","","92","","","","5","","12","","4.8","","100.59","","","","-10","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 03:00","2021","01","02","03:00","-5.5","","-6.6","","92","","","","6","","13","","1.2","","100.39","","","","-11","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 04:00","2021","01","02","04:00","-5.6","","-6.7","","92","","","","5","","14","","1.6","","100.22","","","","-11","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 05:00","2021","01","02","05:00","-5.7","","-6.9","","92","","","","4","","8","","2.4","","100.04","","","","-9","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 06:00","2021","01","02","06:00","-5.7","","-6.8","","92","","","","4","","11","","1.6","","99.89","","","","-10","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 07:00","2021","01","02","07:00","-5.7","","-6.8","","92","","","","3","","8","","1.2","","99.89","","","","-9","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 08:00","2021","01","02","08:00","-5.7","","-6.8","","92","","","","3","","10","","1.0","","99.86","","","","-10","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 09:00","2021","01","02","09:00","-5.0","","-6.4","","90","","","","1","","11","","4.8","","99.93","","","","-10","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 10:00","2021","01","02","10:00","-4.4","","-5.7","","90","","","","1","","7","","4.0","","100.00","","","","-8","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 11:00","2021","01","02","11:00","-3.3","","-6.0","","82","","","","1","","8","","32.2","","100.07","","","","-7","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 12:00","2021","01","02","12:00","-1.9","","-6.2","","72","","","","33","","7","","32.2","","100.13","","","","-5","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 13:00","2021","01","02","13:00","-0.8","","-6.2","","67","","","","20","","5","","40.2","","100.19","","","","-2","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 14:00","2021","01","02","14:00","-0.4","","-5.8","","67","","","","22","","10","","48.3","","100.25","","","","-4","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 15:00","2021","01","02","15:00","-0.5","","-5.3","","70","","","","24","","10","","56.3","","100.39","","","","-4","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 16:00","2021","01","02","16:00","-0.8","","-5.3","","72","","","","26","","10","","48.3","","100.52","","","","-4","","Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 17:00","2021","01","02","17:00","-2.0","","-6.1","","74","","","","29","","7","","40.2","","100.65","","","","-5","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 18:00","2021","01","02","18:00","-3.0","","-6.5","","77","","","","28","","7","","40.2","","100.76","","","","-6","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2021-01-02 19:00","2021","01","02","19:00","-3.5","","-6.7","","79","","","","28","","8","","40.2","","100.89","","","","-7","","Mostly Cloudy"
