"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 00:00","2015","03","01","00:00","-9.6","","-14.7","","67","","0.0","","23","","18","","16.1","","103.51","","","","-17","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 01:00","2015","03","01","01:00","-9.8","","-14.8","","67","","0.0","","23","","11","","16.1","","103.53","","","","-15","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 02:00","2015","03","01","02:00","-11.8","","-16.2","","70","","0.0","","18","","9","","16.1","","103.48","","","","-17","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 03:00","2015","03","01","03:00","-12.2","","-17.3","","66","","0.0","","18","","15","","16.1","","103.47","","","","-19","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 04:00","2015","03","01","04:00","-14.4","","-18.7","","70","","0.0","","15","","13","","16.1","","103.38","","","","-22","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 05:00","2015","03","01","05:00","-14.7","","-18.6","","72","","0.0","","16","","11","","16.1","","103.36","","","","-21","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 06:00","2015","03","01","06:00","-14.8","","-18.6","","73","","0.0","","20","","4","","16.1","","103.38","","","","-18","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 07:00","2015","03","01","07:00","-15.4","","-19.0","","74","","0.0","","","","0","","16.1","","103.31","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 08:00","2015","03","01","08:00","-13.3","","-17.7","","70","","0.0","","18","","5","","16.1","","103.28","","","","-17","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 09:00","2015","03","01","09:00","-12.1","","-16.4","","71","","0.0","","","","0","","16.1","","103.17","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 10:00","2015","03","01","10:00","-9.8","","-15.6","","63","","0.0","","14","","11","","16.1","","103.03","","","","-15","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 11:00","2015","03","01","11:00","-7.7","","-15.0","","56","","0.0","","18","","15","","16.1","","102.89","","","","-14","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 12:00","2015","03","01","12:00","-6.3","","-14.5","","53","","0.0","","17","","9","","16.1","","102.74","","","","-11","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 13:00","2015","03","01","13:00","-5.0","","-14.8","","47","","0.0","","18","","21","","16.1","","102.53","","","","-12","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 14:00","2015","03","01","14:00","-4.4","","-14.4","","46","","0.0","","15","","9","","16.1","","102.34","","","","-8","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 15:00","2015","03","01","15:00","-3.6","","-12.8","","49","","0.0","","22","","9","","16.1","","102.20","","","","-7","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 16:00","2015","03","01","16:00","-3.2","","-11.1","","55","","0.0","","18","","11","","16.1","","102.11","","","","-7","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 17:00","2015","03","01","17:00","-3.5","","-10.0","","61","","0.0","","18","","15","","16.1","","101.99","","","","-9","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 18:00","2015","03","01","18:00","-3.8","","-9.6","","65","","0.0","","19","","15","","16.1","","101.90","","","","-9","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 19:00","2015","03","01","19:00","-4.1","","-8.8","","70","","0.0","","19","","17","","16.1","","101.82","","","","-10","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 20:00","2015","03","01","20:00","-4.4","","-8.5","","73","","0.0","","22","","9","","16.1","","101.74","","","","-8","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 21:00","2015","03","01","21:00","-4.7","","-7.5","","81","","0.0","","21","","8","","4.8","","101.69","","","","-8","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 22:00","2015","03","01","22:00","-5.7","","-7.7","","86","","0.0","","30","","4","","2.4","","101.61","","","","-8","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-01 23:00","2015","03","01","23:00","-6.1","","-7.8","","88","","0.0","","22","","4","","2.4","","101.52","","","","-8","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-02 00:00","2015","03","02","00:00","-5.8","","-7.3","","89","","0.0","","22","","9","","3.6","","101.44","","","","-10","","Snow"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2015-03-02 01:00","2015","03","02","01:00","-6.1","","-7.6","","89","","0.0","","19","","9","","6.4","","101.35","","","","-10","","Snow"
