"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 00:00","2017","06","01","00:00","15.0","","10.8","","76","","0.0","","17","","5","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 01:00","2017","06","01","01:00","15.4","","10.5","","73","","0.0","","22","","7","","","","100.53","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 02:00","2017","06","01","02:00","15.3","","11.1","","76","","0.0","","25","","10","","","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 03:00","2017","06","01","03:00","15.2","","10.6","","74","","0.0","","23","","15","","","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 04:00","2017","06","01","04:00","14.8","","10.2","","74","","0.0","","23","","18","","","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 05:00","2017","06","01","05:00","14.7","","9.9","","73","","0.0","","24","","16","","","","100.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 06:00","2017","06","01","06:00","14.3","","9.4","","72","","0.0","","25","","17","","","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 07:00","2017","06","01","07:00","14.5","","8.2","","66","","0.0","","25","","19","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 08:00","2017","06","01","08:00","14.7","","7.7","","63","","0.0","","25","","27","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 09:00","2017","06","01","09:00","16.5","","7.8","","57","","0.0","","24","","28","","","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 10:00","2017","06","01","10:00","17.3","","8.2","","55","","0.0","","23","","26","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 11:00","2017","06","01","11:00","17.2","","7.0","","51","","0.0","","22","","25","","","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 12:00","2017","06","01","12:00","17.6","","6.0","","46","","0.0","","26","","27","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 13:00","2017","06","01","13:00","16.9","","4.3","","43","","0.0","","27","","31","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 14:00","2017","06","01","14:00","17.4","","3.6","","40","","0.0","","27","","27","","","","100.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 15:00","2017","06","01","15:00","16.3","","4.5","","46","","0.0","","27","","30","","","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 16:00","2017","06","01","16:00","16.7","","4.6","","45","","0.0","","25","","28","","","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 17:00","2017","06","01","17:00","16.0","","4.9","","48","","0.0","","27","","27","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 18:00","2017","06","01","18:00","16.4","","5.7","","49","","0.0","","28","","19","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 19:00","2017","06","01","19:00","14.7","","5.1","","53","","0.0","","28","","25","","","","100.59","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 20:00","2017","06","01","20:00","13.1","","5.5","","60","","0.0","","29","","16","","","","100.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 21:00","2017","06","01","21:00","13.5","","5.1","","57","","0.0","","28","","16","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 22:00","2017","06","01","22:00","12.2","","5.6","","64","","0.0","","28","","15","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-01 23:00","2017","06","01","23:00","12.1","","6.6","","69","","0.0","","25","","10","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 00:00","2017","06","02","00:00","11.3","","6.2","","71","","0.0","","25","","8","","","","100.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 01:00","2017","06","02","01:00","11.0","","5.9","","71","","0.0","","24","","7","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 02:00","2017","06","02","02:00","10.1","","5.7","","74","","0.0","","25","","8","","","","100.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 03:00","2017","06","02","03:00","9.5","","6.0","","79","","0.0","","24","","8","","","","100.69","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 04:00","2017","06","02","04:00","9.4","","6.3","","81","","0.0","","23","","11","","","","100.71","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 05:00","2017","06","02","05:00","9.3","","6.2","","81","","0.0","","24","","11","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 06:00","2017","06","02","06:00","9.6","","6.4","","81","","0.0","","25","","17","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 07:00","2017","06","02","07:00","10.3","","6.9","","80","","0.0","","26","","16","","","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 08:00","2017","06","02","08:00","10.3","","7.4","","83","","0.0","","26","","13","","","","100.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 09:00","2017","06","02","09:00","9.6","","8.2","","91","","1.7","","27","","12","","","","100.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 10:00","2017","06","02","10:00","10.4","","8.0","","85","","1.0","","26","","11","","","","100.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 11:00","2017","06","02","11:00","11.7","","7.4","","75","","0.0","","25","","15","","","","100.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 12:00","2017","06","02","12:00","13.0","","7.6","","70","","0.7","","26","","16","","","","100.78","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 13:00","2017","06","02","13:00","13.4","","7.2","","66","","0.0","","27","","17","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 14:00","2017","06","02","14:00","13.6","","6.5","","62","","0.3","","28","","22","","","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 15:00","2017","06","02","15:00","15.3","","5.9","","54","","0.0","","28","","20","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 16:00","2017","06","02","16:00","14.7","","5.5","","54","","0.0","","28","","26","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 17:00","2017","06","02","17:00","14.4","","4.9","","53","","0.0","","27","","22","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 18:00","2017","06","02","18:00","13.5","","4.8","","56","","0.0","","29","","25","","","","100.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 19:00","2017","06","02","19:00","11.4","","6.8","","73","","0.0","","31","","20","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 20:00","2017","06","02","20:00","10.3","","7.9","","85","","0.3","","30","","8","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 21:00","2017","06","02","21:00","10.8","","7.7","","81","","0.2","","23","","5","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 22:00","2017","06","02","22:00","10.6","","8.0","","84","","0.3","","25","","4","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-02 23:00","2017","06","02","23:00","10.8","","8.6","","86","","0.0","","27","","11","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 00:00","2017","06","03","00:00","10.5","","8.5","","87","","0.0","","29","","11","","","","100.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 01:00","2017","06","03","01:00","10.6","","8.5","","86","","0.0","","28","","7","","","","100.81","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 02:00","2017","06","03","02:00","10.3","","8.2","","87","","0.0","","29","","8","","","","100.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 03:00","2017","06","03","03:00","10.1","","7.4","","83","","0.0","","29","","14","","","","100.78","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 04:00","2017","06","03","04:00","9.7","","7.4","","86","","0.0","","28","","15","","","","100.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 05:00","2017","06","03","05:00","9.9","","7.7","","86","","0.0","","29","","12","","","","100.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 06:00","2017","06","03","06:00","10.4","","7.5","","82","","0.0","","28","","14","","","","100.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 07:00","2017","06","03","07:00","11.2","","8.0","","81","","0.0","","28","","16","","","","100.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 08:00","2017","06","03","08:00","11.6","","7.7","","77","","0.0","","29","","18","","","","100.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 09:00","2017","06","03","09:00","12.1","","8.0","","76","","0.0","","29","","19","","","","100.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 10:00","2017","06","03","10:00","12.1","","8.3","","78","","0.0","","28","","16","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 11:00","2017","06","03","11:00","11.8","","8.7","","81","","0.0","","29","","17","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 12:00","2017","06","03","12:00","12.7","","8.1","","74","","0.0","","29","","20","","","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 13:00","2017","06","03","13:00","14.0","","9.0","","72","","0.0","","28","","16","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 14:00","2017","06","03","14:00","15.5","","9.6","","68","","0.0","","27","","16","","","","100.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 15:00","2017","06","03","15:00","16.3","","9.7","","65","","0.0","","30","","22","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 16:00","2017","06","03","16:00","16.8","","9.4","","62","","0.0","","29","","17","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 17:00","2017","06","03","17:00","17.0","","9.3","","60","","0.0","","31","","20","","","","100.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 18:00","2017","06","03","18:00","16.9","","9.2","","61","","0.0","","30","","20","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 19:00","2017","06","03","19:00","16.5","","9.2","","62","","0.0","","29","","18","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 20:00","2017","06","03","20:00","15.6","","9.4","","66","","0.0","","30","","15","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 21:00","2017","06","03","21:00","15.9","","9.5","","66","","0.0","","30","","12","","","","101.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 22:00","2017","06","03","22:00","15.3","","9.5","","68","","0.0","","27","","5","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-03 23:00","2017","06","03","23:00","14.7","","10.5","","76","","0.0","","22","","7","","","","101.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 00:00","2017","06","04","00:00","14.1","","10.1","","77","","0.0","","22","","4","","","","101.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 01:00","2017","06","04","01:00","12.8","","9.8","","82","","0.0","","25","","4","","","","101.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 02:00","2017","06","04","02:00","11.4","","9.3","","87","","0.0","","","","0","","","","101.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 03:00","2017","06","04","03:00","11.8","","9.3","","85","","0.0","","","","0","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 04:00","2017","06","04","04:00","10.7","","8.8","","88","","0.0","","","","0","","","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 05:00","2017","06","04","05:00","11.7","","10.1","","90","","0.0","","22","","4","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 06:00","2017","06","04","06:00","13.0","","10.6","","85","","0.0","","23","","4","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-06-04 07:00","2017","06","04","07:00","14.0","","10.6","","80","","0.0","","22","","9","","","","101.00","","","","","","NA"
