"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 00:00","2016","12","01","00:00","4.4","","4.4","","100","","","","6","","13","","3.2","","99.01","","","","","","Rain,Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 01:00","2016","12","01","01:00","5.9","","5.9","","100","","","","8","","22","","24.1","","98.81","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 02:00","2016","12","01","02:00","4.9","","4.9","","100","","","","5","","14","","24.1","","98.82","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 03:00","2016","12","01","03:00","4.0","","4.0","","100","","","","7","","17","","16.1","","98.72","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 04:00","2016","12","01","04:00","3.7","","3.7","","100","","","","7","","21","","16.1","","98.66","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 05:00","2016","12","01","05:00","3.6","","3.6","","100","","","","7","","14","","16.1","","98.46","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 06:00","2016","12","01","06:00","4.1","","4.1","","100","","","","5","","9","","16.1","","98.51","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 07:00","2016","12","01","07:00","3.8","","3.8","","100","","","","36","","7","","4.0","","98.52","","","","","","Rain"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 08:00","2016","12","01","08:00","3.5","","3.5","","100","","","","","","0","","3.2","","98.54","","","","","","Rain,Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-12-01 09:00","2016","12","01","09:00","5.5","","5.5","","100","","","","25","","8","","19.3","","98.58","","","","","","Rain"
