"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 00:00","2015","04","01","00:00","-3.8","","-12.0","","53","","0.0","","31","","9","","","","100.86","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 01:00","2015","04","01","01:00","-3.4","","-13.2","","47","","0.0","","2","","8","","","","100.93","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 02:00","2015","04","01","02:00","-3.8","","-13.5","","47","","0.0","","5","","7","","","","100.99","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 03:00","2015","04","01","03:00","-4.6","","-14.6","","45","","0.0","","2","","11","","","","101.05","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 04:00","2015","04","01","04:00","-5.9","","-14.3","","51","","0.0","","36","","8","","","","101.13","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 05:00","2015","04","01","05:00","-5.6","","-15.6","","45","","0.2","","1","","11","","","","101.24","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 06:00","2015","04","01","06:00","-6.6","","-14.8","","52","","0.0","","35","","7","","","","101.38","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 07:00","2015","04","01","07:00","-4.7","","-15.8","","42","","0.0","","34","","12","","","","101.50","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 08:00","2015","04","01","08:00","-3.7","","-15.5","","40","","0.0","","35","","12","","","","101.55","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 09:00","2015","04","01","09:00","-3.6","","-16.5","","36","","0.0","","2","","11","","","","101.60","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 10:00","2015","04","01","10:00","-2.9","","-15.5","","37","","0.0","","2","","7","","","","101.63","","","","-6","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 11:00","2015","04","01","11:00","-1.6","","-14.8","","36","","0.0","","28","","10","","","","101.63","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 12:00","2015","04","01","12:00","-1.3","","-15.7","","33","","0.0","","27","","17","","","","101.61","","","","-6","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 13:00","2015","04","01","13:00","0.1","","-14.0","","34","","0.0","","26","","16","","","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 14:00","2015","04","01","14:00","0.4","","-15.5","","29","","0.0","","26","","19","","","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-04-01 15:00","2015","04","01","15:00","1.3","","-14.9","","29","","0.0","","25","","23","","","","101.56","","","","","","NA"
