"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 00:00","2017","12","01","00:00","3.4","","2.2","","92","","0.0","","19","","13","","16.1","","100.83","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 01:00","2017","12","01","01:00","4.0","","2.7","","91","","0.0","","22","","17","","16.1","","100.87","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 02:00","2017","12","01","02:00","4.8","","3.3","","90","","0.0","","23","","18","","16.1","","100.94","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 03:00","2017","12","01","03:00","5.0","","3.4","","89","","0.0","","25","","22","","14.5","","101.00","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 04:00","2017","12","01","04:00","4.7","","2.2","","84","","0.0","","26","","22","","16.1","","101.09","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 05:00","2017","12","01","05:00","4.6","","1.8","","82","","0.0","","27","","17","","16.1","","101.21","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 06:00","2017","12","01","06:00","4.0","","1.7","","85","","0.0","","27","","17","","16.1","","101.32","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 07:00","2017","12","01","07:00","3.8","","1.5","","85","","0.0","","27","","18","","16.1","","101.44","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 08:00","2017","12","01","08:00","3.6","","1.3","","85","","0.0","","27","","15","","16.1","","101.53","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 09:00","2017","12","01","09:00","3.8","","0.8","","81","","0.0","","28","","15","","16.1","","101.66","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 10:00","2017","12","01","10:00","3.8","","0.3","","78","","0.0","","28","","18","","16.1","","101.76","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 11:00","2017","12","01","11:00","3.8","","-0.5","","73","","0.0","","28","","18","","16.1","","101.79","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 12:00","2017","12","01","12:00","4.0","","-2.4","","63","","0.0","","31","","18","","16.1","","101.80","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 13:00","2017","12","01","13:00","3.7","","-2.7","","63","","0.0","","30","","22","","16.1","","101.85","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 14:00","2017","12","01","14:00","3.6","","-3.4","","60","","0.0","","31","","17","","16.1","","101.89","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 15:00","2017","12","01","15:00","3.0","","-4.2","","59","","0.0","","32","","13","","16.1","","101.99","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 16:00","2017","12","01","16:00","2.5","","-4.5","","60","","0.0","","33","","15","","16.1","","102.02","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 17:00","2017","12","01","17:00","2.4","","-4.6","","60","","0.0","","31","","13","","16.1","","102.13","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 18:00","2017","12","01","18:00","2.2","","-4.3","","62","","0.0","","31","","15","","16.1","","102.21","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 19:00","2017","12","01","19:00","1.9","","-4.4","","63","","0.0","","31","","11","","16.1","","102.28","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 20:00","2017","12","01","20:00","1.6","","-4.7","","63","","0.0","","29","","5","","16.1","","102.27","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 21:00","2017","12","01","21:00","1.4","","-5.3","","61","","0.0","","30","","5","","16.1","","102.27","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 22:00","2017","12","01","22:00","1.1","","-5.6","","61","","0.0","","29","","5","","16.1","","102.28","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-01 23:00","2017","12","01","23:00","0.4","","-5.6","","64","","0.0","","33","","5","","16.1","","102.33","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 00:00","2017","12","02","00:00","-0.8","","-4.7","","75","","0.0","","8","","9","","16.1","","102.25","","","","-4","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 01:00","2017","12","02","01:00","-0.4","","-4.7","","73","","0.0","","18","","11","","16.1","","102.24","","","","-4","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 02:00","2017","12","02","02:00","-0.5","","-4.5","","74","","0.0","","14","","8","","16.1","","102.26","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 03:00","2017","12","02","03:00","-0.4","","-4.2","","76","","0.0","","","","0","","16.1","","102.30","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 04:00","2017","12","02","04:00","-0.8","","-3.5","","82","","0.0","","8","","5","","16.1","","102.27","","","","-2","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 05:00","2017","12","02","05:00","-0.5","","-3.7","","79","","0.0","","20","","4","","16.1","","102.27","","","","-2","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 06:00","2017","12","02","06:00","-0.5","","-3.5","","80","","0.0","","","","0","","16.1","","102.29","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 07:00","2017","12","02","07:00","-0.6","","-2.8","","85","","0.0","","11","","4","","16.1","","102.29","","","","-2","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 08:00","2017","12","02","08:00","-0.3","","-2.1","","88","","0.0","","8","","8","","16.1","","102.30","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 09:00","2017","12","02","09:00","0.5","","-2.1","","83","","0.0","","9","","5","","16.1","","102.28","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 10:00","2017","12","02","10:00","1.3","","-2.7","","75","","0.0","","11","","8","","16.1","","102.28","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 11:00","2017","12","02","11:00","2.0","","-2.7","","71","","0.0","","9","","9","","16.1","","102.22","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 12:00","2017","12","02","12:00","2.8","","-2.2","","70","","0.0","","14","","9","","16.1","","102.17","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 13:00","2017","12","02","13:00","2.8","","-2.5","","68","","0.0","","15","","8","","16.1","","102.11","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 14:00","2017","12","02","14:00","2.8","","-2.5","","68","","0.0","","13","","5","","16.1","","102.11","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 15:00","2017","12","02","15:00","2.7","","-2.2","","70","","0.0","","8","","8","","16.1","","102.11","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 16:00","2017","12","02","16:00","2.1","","-2.1","","74","","0.0","","10","","5","","16.1","","102.11","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 17:00","2017","12","02","17:00","2.3","","-2.5","","70","","0.0","","11","","11","","16.1","","102.06","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 18:00","2017","12","02","18:00","1.1","","-1.8","","81","","0.0","","11","","8","","16.1","","102.04","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 19:00","2017","12","02","19:00","1.0","","-2.1","","80","","0.0","","","M","4","","16.1","","102.07","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 20:00","2017","12","02","20:00","0.3","","-2.1","","84","","0.0","","","","0","","16.1","","102.11","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 21:00","2017","12","02","21:00","-0.7","","-1.9","","91","","0.0","","35","","5","","16.1","","102.07","","","","-2","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 22:00","2017","12","02","22:00","-1.5","","-2.8","","91","","0.0","","","","0","","14.5","","102.08","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-02 23:00","2017","12","02","23:00","-1.2","","-2.6","","90","","0.0","","36","","5","","14.5","","102.08","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 00:00","2017","12","03","00:00","-1.6","","-2.6","","93","","0.0","","3","","8","","6.4","","102.05","","","","-5","","Fog"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 01:00","2017","12","03","01:00","-1.3","","-2.3","","93","","0.0","","4","","4","","11.3","","102.03","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 02:00","2017","12","03","02:00","-1.8","","-2.6","","94","","0.0","","6","","4","","14.5","","102.04","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 03:00","2017","12","03","03:00","-1.1","","-2.2","","92","","0.0","","4","","5","","16.1","","102.00","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 04:00","2017","12","03","04:00","-1.4","","-2.4","","93","","0.0","","2","","8","","16.1","","101.98","","","","-4","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 05:00","2017","12","03","05:00","-1.3","","-2.3","","93","","0.0","","3","","5","","16.1","","101.97","","","","-3","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 06:00","2017","12","03","06:00","-1.2","","-2.2","","93","","0.0","","2","","9","","16.1","","102.00","","","","-4","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 07:00","2017","12","03","07:00","-1.2","","-2.2","","93","","0.0","","2","","11","","16.1","","102.03","","","","-5","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 08:00","2017","12","03","08:00","-1.1","","-2.1","","93","","0.0","","1","","11","","16.1","","102.06","","","","-5","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 09:00","2017","12","03","09:00","-0.6","","-1.7","","92","","0.0","","1","","13","","16.1","","102.08","","","","-5","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 10:00","2017","12","03","10:00","0.5","","-1.5","","86","","0.0","","1","","13","","16.1","","102.12","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 11:00","2017","12","03","11:00","1.1","","-1.1","","85","","0.0","","1","","11","","16.1","","102.09","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 12:00","2017","12","03","12:00","1.2","","-0.9","","86","","0.0","","1","","15","","14.5","","102.06","","","","","","NA"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2017-12-03 13:00","2017","12","03","13:00","1.5","","-0.7","","85","","0.0","","2","","17","","14.5","","102.02","","","","","","NA"
