"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 00:00","2016","01","01","00:00","-3.7","","-5.3","","89","","","","25","","11","","40.2","","100.32","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 01:00","2016","01","01","01:00","-3.6","","-5.5","","87","","","","25","","11","","40.2","","100.31","","","","-8","","Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 02:00","2016","01","01","02:00","-3.5","","-5.7","","85","","","","26","","12","","40.2","","100.32","","","","-8","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 03:00","2016","01","01","03:00","-3.7","","-6.0","","84","","","","25","","14","","40.2","","100.33","","","","-9","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 04:00","2016","01","01","04:00","-4.0","","-6.2","","85","","","","24","","10","","24.1","","100.28","","","","-8","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 05:00","2016","01","01","05:00","-4.4","","-5.8","","90","","","","24","","7","","40.2","","100.26","","","","-8","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 06:00","2016","01","01","06:00","-4.8","","-5.8","","93","","","","27","","5","","40.2","","100.24","","","","-7","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 07:00","2016","01","01","07:00","-5.9","","-6.6","","95","","","","20","","5","","40.2","","100.20","","","","-8","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 08:00","2016","01","01","08:00","-4.8","","-5.3","","96","","","","21","","8","","24.1","","100.20","","","","-8","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 09:00","2016","01","01","09:00","-4.0","","-4.8","","94","","","","21","","8","","4.0","","100.15","","","","-7","","Snow Showers,Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 10:00","2016","01","01","10:00","-3.1","","-4.4","","91","","","","24","","9","","8.1","","100.12","","","","-7","","Snow Showers,Fog"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 11:00","2016","01","01","11:00","-2.0","","-3.1","","92","","","","24","","9","","4.0","","100.07","","","","-5","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 12:00","2016","01","01","12:00","-1.0","","-2.7","","88","","","","24","","13","","4.8","","99.97","","","","-5","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 13:00","2016","01","01","13:00","-0.9","","-2.3","","90","","","","24","","16","","4.8","","99.91","","","","-6","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 14:00","2016","01","01","14:00","-0.6","","-2.8","","85","","","","25","","20","","8.1","","99.88","","","","-6","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 15:00","2016","01","01","15:00","-0.7","","-2.9","","85","","","","25","","14","","9.7","","99.86","","","","-5","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 16:00","2016","01","01","16:00","-0.9","","-3.6","","82","","","","25","","15","","16.1","","99.90","","","","-6","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 17:00","2016","01","01","17:00","-1.3","","-3.0","","88","","","","24","","15","","16.1","","99.89","","","","-6","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 18:00","2016","01","01","18:00","-1.5","","-3.5","","86","","","","23","","15","","24.1","","99.92","","","","-6","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 19:00","2016","01","01","19:00","-1.8","","-3.4","","89","","","","24","","20","","24.1","","99.93","","","","-8","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 20:00","2016","01","01","20:00","-1.9","","-4.3","","84","","","","24","","18","","24.1","","99.95","","","","-7","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 21:00","2016","01","01","21:00","-2.0","","-4.4","","84","","","","25","","21","","4.8","","99.93","","","","-8","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 22:00","2016","01","01","22:00","-2.1","","-4.5","","84","","","","25","","17","","9.7","","99.96","","","","-7","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-01 23:00","2016","01","01","23:00","-2.2","","-5.0","","81","","","","25","","20","","16.1","","99.97","","","","-8","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 00:00","2016","01","02","00:00","-3.0","","-5.5","","83","","","","29","","19","","6.4","","100.03","","","","-9","","Snow Showers"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 01:00","2016","01","02","01:00","-4.2","","-7.5","","78","","","","26","","14","","24.1","","100.04","","","","-9","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 02:00","2016","01","02","02:00","-4.8","","-7.4","","82","","","","24","","13","","40.2","","100.09","","","","-10","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 03:00","2016","01","02","03:00","-5.2","","-7.0","","87","","","","25","","18","","40.2","","100.06","","","","-11","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 04:00","2016","01","02","04:00","-5.2","","-7.0","","87","","","","24","","16","","40.2","","100.04","","","","-11","","Mainly Clear"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 05:00","2016","01","02","05:00","-5.4","","-7.7","","84","","","","25","","14","","40.2","","100.05","","","","-11","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 06:00","2016","01","02","06:00","-5.3","","-7.8","","83","","","","24","","17","","40.2","","100.03","","","","-11","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 07:00","2016","01","02","07:00","-4.7","","-7.6","","80","","","","24","","14","","40.2","","100.07","","","","-10","","Mostly Cloudy"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 08:00","2016","01","02","08:00","-4.5","","-7.6","","79","","","","25","","18","","72.4","","100.09","","","","-11","","NA"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 09:00","2016","01","02","09:00","-4.0","","-6.6","","82","","","","26","","17","","48.3","","100.10","","","","-10","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 10:00","2016","01","02","10:00","-3.4","","-5.6","","85","","","","24","","16","","11.3","","100.12","","","","-9","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 11:00","2016","01","02","11:00","-2.6","","-4.6","","86","","","","25","","14","","6.4","","100.08","","","","-7","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 12:00","2016","01","02","12:00","-1.7","","-5.6","","75","","","","24","","18","","24.1","","99.93","","","","-7","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 13:00","2016","01","02","13:00","-1.6","","-5.1","","77","","","","25","","16","","6.4","","99.85","","","","-7","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 14:00","2016","01","02","14:00","-1.5","","-5.4","","75","","","","24","","16","","24.1","","99.80","","","","-6","","Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 15:00","2016","01","02","15:00","-1.4","","-4.8","","78","","","","24","","23","","16.1","","99.81","","","","-7","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 16:00","2016","01","02","16:00","-1.4","","-4.4","","80","","","","24","","20","","16.1","","99.79","","","","-7","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 17:00","2016","01","02","17:00","-1.4","","-4.1","","82","","","","24","","12","","16.1","","99.82","","","","-5","","Snow,Blowing Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 18:00","2016","01","02","18:00","-1.2","","-3.9","","82","","","","24","","14","","16.1","","99.86","","","","-6","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 19:00","2016","01","02","19:00","-1.1","","-3.8","","82","","","","23","","12","","16.1","","99.82","","","","-5","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 20:00","2016","01","02","20:00","-0.8","","-3.8","","80","","","","24","","14","","24.1","","99.77","","","","-5","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 21:00","2016","01","02","21:00","-0.7","","-4.1","","78","","","","25","","17","","24.1","","99.71","","","","-6","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 22:00","2016","01","02","22:00","-0.9","","-3.9","","80","","","","24","","22","","16.1","","99.64","","","","-7","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-02 23:00","2016","01","02","23:00","-1.7","","-2.8","","92","","","","23","","18","","4.8","","99.62","","","","-7","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-03 00:00","2016","01","03","00:00","-1.7","","-2.4","","95","","","","23","","14","","3.2","","99.54","","","","-6","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-03 01:00","2016","01","03","01:00","-1.8","","-2.5","","95","","","","22","","16","","3.2","","99.47","","","","-7","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-03 02:00","2016","01","03","02:00","-1.9","","-2.7","","94","","","","20","","10","","4.8","","99.43","","","","-6","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-03 03:00","2016","01","03","03:00","-1.8","","-2.8","","93","","","","23","","7","","6.4","","99.41","","","","-4","","Snow"
"-74.04","45.68","MONTREAL MIRABEL INTL A","7034900","2016-01-03 04:00","2016","01","03","04:00","-1.6","","-2.6","","93","","","","22","","15","","4.8","","99.33","","","","-6","","Snow"
